About,Rating,Company,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
Insurance | Mumbai +455 other locations,4600.0,Tata AIA Life Insurance,4600.0,14500.0,265.0,855.0,313.0,23.0
Pharma | Hyderabad +80 other locations,3900.0,Viatris,3900.0,14400.0,172.0,20.0,508.0,13.0
Automobile | Indore +181 other locations,4400.0,VE Commercial Vehicles,4400.0,14400.0,296.0,26.0,357.0,13.0
Food Processing | Hyderabad +280 other locations,3200.0,PepsiCo,3200.0,14400.0,254.0,250.0,254.0,19.0
Oil & Gas | Bengaluru +91 other locations,2800.0,Shell,2800.0,14300.0,240.0,45.0,263.0,8.0
Internet | Gurugram +160 other locations,3700.0,Blinkit,3700.0,14300.0,387.0,1.0,234.0,27.0
Auto Components | Gurugram +119 other locations,4900.0,JBM Group,4900.0,14200.0,366.0,58.0,355.0,21.0
IT Services & Consulting | Gurugram +51 other locations,3000.0,VVDN Technologies,3000.0,14200.0,268.0,14.0,137.0,12.0
IT Services & Consulting | Noida +19 other locations,2300.0,Sopra Steria,2300.0,14200.0,187.0,41.0,245.0,8.0
Engineering & Construction | Mumbai +328 other locations,5400.0,Kalpataru Projects International,5400.0,14200.0,346.0,,225.0,22.0
FinTech | Bengaluru +407 other locations,3700.0,PhonePe,3700.0,14100.0,446.0,100.0,201.0,11.0
Software Product | Chennai +40 other locations,2500.0,Intellect Design Arena,2500.0,14100.0,183.0,30.0,118.0,8.0
Industrial Machinery | Faridabad +159 other locations,3900.0,Escorts Kubota Limited,3900.0,14000.0,310.0,,266.0,26.0
Education & Training | New Delhi +251 other locations,4300.0,Aakash Educational Services,4300.0,14000.0,383.0,125.0,218.0,25.0
NBFC | Mumbai +814 other locations,6400.0,IIFL Finance,6400.0,14000.0,337.0,62.0,413.0,19.0
BPO | New Delhi +48 other locations,3600.0,IGT Solutions,3600.0,13900.0,257.0,169.0,221.0,14.0
Banking | Chennai +486 other locations,8900.0,Equitas Small Finance Bank,8900.0,13800.0,1000.0,38.0,423.0,43.0
Banking | Bengaluru +544 other locations,7700.0,Ujjivan Small Finance Bank,7700.0,13800.0,335.0,107.0,597.0,26.0
Analytics & KPO | Mumbai +81 other locations,2000.0,Crisil,2000.0,13700.0,216.0,667.0,225.0,
Healthcare | Hyderabad +18 other locations,2800.0,UnitedHealth,2800.0,13700.0,84.0,,432.0,
